iter	Passed	Remaining
0	2	199
1	3	162
2	4	142
3	5	126
4	6	121
5	7	117
6	8	114
7	9	112
8	10	110
9	12	108
10	13	107
11	14	107
12	15	106
13	17	106
14	18	104
15	19	103
16	20	101
17	21	99
18	23	98
19	24	96
20	25	95
21	26	93
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	76
35	42	76
36	44	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	45
61	71	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	81	35
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	116	0
